@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model numeric
@attribute region-detector {0,1,2,3,4}

@data
304,'2018/02/16 21:26:14:952',8,0,0,?,?
305,'2018/02/16 21:26:15:453',8,0,0,?,?
306,'2018/02/16 21:26:15:953',8,0,0,?,?
307,'2018/02/16 21:26:16:455',8,0,0,?,?
308,'2018/02/16 21:26:16:956',8,0,0,?,?
309,'2018/02/16 21:26:17:456',8,0,0,?,?
310,'2018/02/16 21:26:20:966',9,0,0,?,?
311,'2018/02/16 21:26:21:467',9,0,0,?,?
312,'2018/02/16 21:26:21:969',9,0,0,?,?
313,'2018/02/16 21:26:22:470',9,0,0,?,?
314,'2018/02/16 21:26:22:970',9,0,0,?,?
315,'2018/02/16 21:26:23:471',9,0,0,?,?
316,'2018/02/16 21:26:23:972',9,0,0,?,?
317,'2018/02/16 21:26:24:472',9,0,0,?,?
318,'2018/02/16 21:26:24:973',9,0,0,?,?
319,'2018/02/16 21:26:25:474',9,0,0,?,?
320,'2018/02/16 21:26:25:975',9,0,0,?,?
321,'2018/02/16 21:26:26:476',9,0,0,?,?
322,'2018/02/16 21:26:26:978',9,0,0,?,?
323,'2018/02/16 21:26:27:479',9,0,0,?,?
324,'2018/02/16 21:26:27:979',9,0,0,?,?
325,'2018/02/16 21:26:28:480',9,0,0,?,?
326,'2018/02/16 21:26:28:981',9,0,0,?,?
327,'2018/02/16 21:26:29:482',9,0,0,?,?
328,'2018/02/16 21:26:29:982',9,0,0,?,?
329,'2018/02/16 21:26:30:483',9,0,0,?,?
330,'2018/02/16 21:26:30:984',9,0,0,?,?
331,'2018/02/16 21:26:31:486',9,0,0,?,?
332,'2018/02/16 21:26:31:987',9,0,0,?,?
333,'2018/02/16 21:26:32:487',9,0,0,?,?
334,'2018/02/16 21:26:32:989',9,0,0,?,?
335,'2018/02/16 21:26:33:489',9,0,0,?,?
336,'2018/02/16 21:26:33:990',9,0,0,?,?
337,'2018/02/16 21:26:34:490',9,0,0,?,?
338,'2018/02/16 21:26:34:992',9,0,0,?,?
339,'2018/02/16 21:26:35:492',9,0,0,?,?
340,'2018/02/16 21:26:35:997',9,0,0,?,?
341,'2018/02/16 21:26:36:497',9,0,0,?,?
342,'2018/02/16 21:26:36:998',9,0,0,?,?
343,'2018/02/16 21:26:37:499',9,0,0,?,?
344,'2018/02/16 21:26:38:000',9,0,0,?,?
345,'2018/02/16 21:26:38:500',9,0,0,?,?
346,'2018/02/16 21:26:39:001',9,0,0,?,?
347,'2018/02/16 21:26:39:502',9,0,0,?,?
348,'2018/02/16 21:26:40:004',9,0,0,?,?
349,'2018/02/16 21:26:40:504',9,0,0,?,?
350,'2018/02/16 21:26:41:006',9,0,0,?,?
351,'2018/02/16 21:26:41:506',9,0,0,?,?
352,'2018/02/16 21:26:42:007',9,0,0,?,?
353,'2018/02/16 21:26:42:508',9,0,0,?,?
354,'2018/02/16 21:26:43:008',9,0,0,?,?
355,'2018/02/16 21:26:43:511',9,0,0,?,?
356,'2018/02/16 21:26:44:012',9,0,0,?,?
357,'2018/02/16 21:26:44:514',9,0,0,?,?
358,'2018/02/16 21:26:45:015',9,0,0,?,?
359,'2018/02/16 21:26:45:516',9,0,0,?,?
360,'2018/02/16 21:26:46:017',9,0,0,?,?
361,'2018/02/16 21:26:46:519',9,0,0,?,?
362,'2018/02/16 21:26:47:020',9,0,0,?,?
363,'2018/02/16 21:28:29:154',10,0,0,?,?
364,'2018/02/16 21:28:29:657',10,0,0,?,?
365,'2018/02/16 21:28:30:160',10,0,0,?,?
366,'2018/02/16 21:28:30:660',10,0,0,?,?
367,'2018/02/16 21:28:31:161',10,0,0,?,?
368,'2018/02/16 21:28:31:662',10,0,0,?,?
369,'2018/02/16 21:28:32:162',10,0,0,?,?
370,'2018/02/16 21:29:44:937',11,1235.477417,651.114807,?,?
371,'2018/02/16 21:29:45:439',11,1085.148193,655.095947,?,?
372,'2018/02/16 21:29:45:940',11,1312.439575,679.924377,?,?
373,'2018/02/16 21:29:46:464',11,1351.922974,656.340759,?,?
374,'2018/02/16 21:29:46:984',11,296.426788,295.909668,?,?
375,'2018/02/16 21:29:47:485',11,641.347107,231.643692,?,?
376,'2018/02/16 21:29:47:986',11,159.075409,278.534729,?,?
377,'2018/02/16 21:29:48:488',11,81.21402,112.500069,?,?
378,'2018/02/16 21:29:48:989',11,44.37648,90.973961,?,?
379,'2018/02/16 21:29:49:495',11,286.087799,972.148438,?,?
380,'2018/02/16 21:29:49:995',11,190.564255,131.249054,?,?
381,'2018/02/16 21:29:50:497',11,669.252502,867.966431,?,?
382,'2018/02/16 21:29:50:998',11,514.559814,762.196594,?,?
383,'2018/02/16 21:29:51:499',11,550.360229,499.295929,?,?
384,'2018/02/16 21:29:51:999',11,555.973572,507.417358,?,?
385,'2018/02/16 21:29:52:504',11,327.709015,293.794373,?,?
386,'2018/02/16 21:29:53:004',11,556.151794,574.426758,?,?
387,'2018/02/16 21:29:53:510',11,407.425568,44.972893,?,?
388,'2018/02/16 21:29:54:013',11,524.622375,21.462366,?,?
389,'2018/02/16 21:29:54:514',11,457.630157,1016.421814,?,?
390,'2018/02/16 21:29:55:015',11,377.956177,1005.539368,?,?
391,'2018/02/16 21:29:55:516',11,471.285828,987.866211,?,?
392,'2018/02/16 21:29:56:025',11,1245.600708,571.236328,?,?
393,'2018/02/16 21:29:56:525',11,806.183594,909.338684,?,?
394,'2018/02/16 21:29:57:026',11,131.90239,436.931915,?,?
