@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
264,'2018/02/09 15:23:16:725',5,341,438,?,?
265,'2018/02/09 15:23:16:741',5,341,438,?,?
266,'2018/02/09 15:23:16:757',5,341,438,?,?
267,'2018/02/09 15:23:16:773',5,341,438,?,?
268,'2018/02/09 15:23:16:790',5,341,438,?,?
269,'2018/02/09 15:23:16:806',5,341,438,?,?
270,'2018/02/09 15:23:16:822',5,341,438,?,?
271,'2018/02/09 15:23:16:839',5,341,438,?,?
272,'2018/02/09 15:23:16:855',5,341,438,?,?
273,'2018/02/09 15:23:16:871',5,341,438,?,?
274,'2018/02/09 15:23:16:889',5,341,438,?,?
275,'2018/02/09 15:23:16:906',5,341,438,?,?
276,'2018/02/09 15:23:16:921',5,341,438,?,?
277,'2018/02/09 15:23:16:939',5,341,438,?,?
278,'2018/02/09 15:23:16:955',5,341,438,?,?
279,'2018/02/09 15:23:16:971',5,341,438,?,?
280,'2018/02/09 15:23:16:989',5,341,438,?,?
281,'2018/02/09 15:23:17:005',5,341,438,?,?
282,'2018/02/09 15:23:17:022',5,341,438,?,?
283,'2018/02/09 15:23:17:039',5,341,438,?,?
284,'2018/02/09 15:23:17:055',5,341,438,?,?
285,'2018/02/09 15:23:17:072',5,341,438,?,?
286,'2018/02/09 15:23:17:089',5,341,438,?,?
287,'2018/02/09 15:23:17:105',5,341,438,?,?
288,'2018/02/09 15:23:17:122',5,341,438,?,?
289,'2018/02/09 15:23:17:139',5,341,438,?,?
290,'2018/02/09 15:23:17:156',5,341,438,?,?
291,'2018/02/09 15:23:17:172',5,341,438,?,?
292,'2018/02/09 15:23:17:189',5,341,438,?,?
293,'2018/02/09 15:23:17:208',5,341,438,?,?
294,'2018/02/09 15:23:17:223',5,341,438,?,?
295,'2018/02/09 15:23:17:239',5,341,438,?,?
296,'2018/02/09 15:23:17:255',5,341,438,?,?
297,'2018/02/09 15:23:17:272',5,341,438,?,?
298,'2018/02/09 15:23:17:288',5,341,438,?,?
299,'2018/02/09 15:23:17:305',5,341,438,?,?
300,'2018/02/09 15:23:17:321',5,341,438,?,?
301,'2018/02/09 15:23:17:339',5,341,438,?,?
302,'2018/02/09 15:23:17:355',5,341,438,?,?
303,'2018/02/09 15:23:17:371',5,341,438,?,?
304,'2018/02/09 15:23:17:388',5,341,438,?,?
305,'2018/02/09 15:23:17:405',5,341,438,?,?
306,'2018/02/09 15:23:17:421',5,341,438,?,?
307,'2018/02/09 15:23:17:439',5,341,438,?,?
308,'2018/02/09 15:23:17:455',5,341,438,?,?
309,'2018/02/09 15:23:17:471',5,341,438,?,?
310,'2018/02/09 15:23:17:489',5,341,438,?,?
311,'2018/02/09 15:23:17:506',5,341,438,?,?
312,'2018/02/09 15:23:17:521',5,341,438,?,?
313,'2018/02/09 15:23:17:539',5,341,438,?,?
314,'2018/02/09 15:23:17:555',5,341,438,?,?
315,'2018/02/09 15:25:46:602',6,299,107,?,?
316,'2018/02/09 15:25:46:618',6,299,107,?,?
317,'2018/02/09 15:25:46:638',6,299,107,?,?
318,'2018/02/09 15:25:46:654',6,299,107,?,?
319,'2018/02/09 15:25:46:671',6,299,107,?,?
320,'2018/02/09 15:25:46:687',6,299,107,?,?
321,'2018/02/09 15:25:46:704',6,299,107,?,?
322,'2018/02/09 15:25:46:720',6,299,107,?,?
323,'2018/02/09 15:25:46:736',6,299,107,?,?
324,'2018/02/09 15:25:46:752',6,299,107,?,?
325,'2018/02/09 15:25:46:768',6,299,107,?,?
326,'2018/02/09 15:25:46:785',6,299,107,?,?
327,'2018/02/09 15:25:46:802',6,299,107,?,?
328,'2018/02/09 15:25:46:819',6,299,107,?,?
329,'2018/02/09 15:25:46:835',6,299,107,?,?
330,'2018/02/09 15:25:46:851',6,299,107,?,?
331,'2018/02/09 15:25:46:869',6,299,107,?,?
332,'2018/02/09 15:25:46:885',6,299,107,?,?
333,'2018/02/09 15:25:46:902',6,299,107,?,?
334,'2018/02/09 15:25:46:918',6,299,107,?,?
335,'2018/02/09 15:25:46:934',6,299,107,?,?
336,'2018/02/09 15:25:46:951',6,299,107,?,?
337,'2018/02/09 15:25:46:969',6,299,107,?,?
338,'2018/02/09 15:25:46:985',6,299,107,?,?
339,'2018/02/09 15:25:47:003',6,299,107,?,?
340,'2018/02/09 15:25:47:020',6,299,107,?,?
341,'2018/02/09 15:25:59:166',7,306,428,?,?
342,'2018/02/09 15:25:59:182',7,306,428,?,?
343,'2018/02/09 15:25:59:198',7,306,428,?,?
344,'2018/02/09 15:25:59:216',7,306,428,?,?
345,'2018/02/09 15:25:59:232',7,306,428,?,?
346,'2018/02/09 15:25:59:249',7,306,428,?,?
347,'2018/02/09 15:25:59:265',7,306,428,?,?
348,'2018/02/09 15:25:59:282',7,306,428,?,?
349,'2018/02/09 15:25:59:298',7,306,428,?,?
350,'2018/02/09 15:25:59:316',7,306,428,?,?
351,'2018/02/09 15:25:59:331',7,306,428,?,?
352,'2018/02/09 15:25:59:349',7,306,428,?,?
353,'2018/02/09 15:25:59:365',7,306,428,?,?
354,'2018/02/09 15:25:59:381',7,306,428,?,?
355,'2018/02/09 15:25:59:399',7,306,428,?,?
356,'2018/02/09 15:25:59:416',7,306,428,?,?
357,'2018/02/09 15:25:59:431',7,306,428,?,?
358,'2018/02/09 15:25:59:449',7,306,428,?,?
359,'2018/02/09 15:25:59:465',7,306,428,?,?
360,'2018/02/09 15:25:59:482',7,306,428,?,?
361,'2018/02/09 15:25:59:498',7,306,428,?,?
362,'2018/02/09 15:25:59:515',7,306,428,?,?
363,'2018/02/09 15:25:59:532',7,306,428,?,?
364,'2018/02/09 15:25:59:549',7,306,428,?,?
365,'2018/02/09 15:25:59:565',7,306,428,?,?
366,'2018/02/09 15:25:59:583',7,306,428,?,?
367,'2018/02/09 15:25:59:598',7,306,428,?,?
368,'2018/02/09 15:25:59:617',7,306,428,?,?
369,'2018/02/09 15:25:59:634',7,306,428,?,?
370,'2018/02/09 15:25:59:649',7,306,428,?,?
371,'2018/02/09 15:25:59:665',7,306,428,?,?
372,'2018/02/09 15:25:59:682',7,306,428,?,?
373,'2018/02/09 15:25:59:698',7,306,428,?,?
374,'2018/02/09 15:25:59:717',7,306,428,?,?
375,'2018/02/09 15:25:59:733',7,306,428,?,?
376,'2018/02/09 15:25:59:749',7,306,428,?,?
377,'2018/02/09 15:26:06:680',8,46,236,?,?
378,'2018/02/09 15:26:06:697',8,46,236,?,?
379,'2018/02/09 15:26:06:715',8,46,236,?,?
380,'2018/02/09 15:26:06:730',8,46,236,?,?
381,'2018/02/09 15:26:06:747',8,46,236,?,?
382,'2018/02/09 15:26:06:763',8,46,236,?,?
383,'2018/02/09 15:26:06:780',8,46,236,?,?
384,'2018/02/09 15:26:06:797',8,46,236,?,?
385,'2018/02/09 15:26:06:813',8,46,236,?,?
386,'2018/02/09 15:26:06:830',8,46,236,?,?
387,'2018/02/09 15:26:06:847',8,46,236,?,?
388,'2018/02/09 15:26:06:863',8,46,236,?,?
389,'2018/02/09 15:26:06:880',8,46,236,?,?
390,'2018/02/09 15:26:06:897',8,46,236,?,?
391,'2018/02/09 15:26:06:915',8,46,236,?,?
392,'2018/02/09 15:26:06:930',8,46,236,?,?
393,'2018/02/09 15:26:06:950',8,46,236,?,?
394,'2018/02/09 15:26:06:965',8,46,236,?,?
395,'2018/02/09 15:26:06:981',8,46,236,?,?
396,'2018/02/09 15:26:07:001',8,46,236,?,?
397,'2018/02/09 15:26:07:015',8,46,236,?,?
398,'2018/02/09 15:26:07:031',8,46,236,?,?
399,'2018/02/09 15:26:07:048',8,46,236,?,?
400,'2018/02/09 15:26:07:063',8,46,236,?,?
401,'2018/02/09 15:26:07:080',8,46,236,?,?
402,'2018/02/09 15:26:07:097',8,46,236,?,?
403,'2018/02/09 15:26:07:114',8,46,236,?,?
404,'2018/02/09 15:26:07:130',8,46,236,?,?
405,'2018/02/09 15:26:07:146',8,46,236,?,?
406,'2018/02/09 15:26:07:164',8,46,236,?,?
407,'2018/02/09 15:26:07:180',8,46,236,?,?
408,'2018/02/09 15:26:07:198',8,46,236,?,?
409,'2018/02/09 15:26:07:213',8,46,236,?,?
410,'2018/02/09 15:26:07:230',8,46,236,?,?
411,'2018/02/09 15:26:07:247',8,46,236,?,?
412,'2018/02/09 15:26:19:262',9,597,234,?,?
413,'2018/02/09 15:26:19:278',9,597,234,?,?
414,'2018/02/09 15:26:19:299',9,597,234,?,?
415,'2018/02/09 15:26:19:314',9,597,234,?,?
416,'2018/02/09 15:26:19:331',9,597,234,?,?
417,'2018/02/09 15:26:19:346',9,597,234,?,?
418,'2018/02/09 15:26:19:363',9,597,234,?,?
419,'2018/02/09 15:26:19:378',9,597,234,?,?
420,'2018/02/09 15:26:19:395',9,597,234,?,?
421,'2018/02/09 15:26:19:410',9,597,234,?,?
422,'2018/02/09 15:26:19:428',9,597,234,?,?
423,'2018/02/09 15:26:19:444',9,597,234,?,?
424,'2018/02/09 15:26:19:460',9,597,234,?,?
425,'2018/02/09 15:26:19:480',9,597,234,?,?
426,'2018/02/09 15:26:19:495',9,597,234,?,?
427,'2018/02/09 15:26:19:511',9,597,234,?,?
428,'2018/02/09 15:26:19:528',9,597,234,?,?
429,'2018/02/09 15:26:19:543',9,597,234,?,?
430,'2018/02/09 15:26:19:562',9,597,234,?,?
431,'2018/02/09 15:26:19:577',9,597,234,?,?
432,'2018/02/09 15:26:19:594',9,597,234,?,?
433,'2018/02/09 15:26:19:611',9,597,234,?,?
434,'2018/02/09 15:26:19:628',9,597,234,?,?
435,'2018/02/09 15:26:19:644',9,597,234,?,?
436,'2018/02/09 15:26:19:661',9,597,234,?,?
437,'2018/02/09 15:26:19:676',9,597,234,?,?
438,'2018/02/09 15:26:19:695',9,597,234,?,?
439,'2018/02/09 15:26:19:711',9,597,234,?,?
440,'2018/02/09 15:26:19:729',9,597,234,?,?
441,'2018/02/09 15:26:35:312',10,41,257,?,?
442,'2018/02/09 15:26:35:329',10,41,257,?,?
443,'2018/02/09 15:26:35:344',10,41,257,?,?
444,'2018/02/09 15:26:35:361',10,41,257,?,?
445,'2018/02/09 15:26:35:376',10,41,257,?,?
446,'2018/02/09 15:26:35:395',10,41,257,?,?
447,'2018/02/09 15:26:35:409',10,41,257,?,?
448,'2018/02/09 15:26:35:425',10,41,257,?,?
449,'2018/02/09 15:26:35:442',10,41,257,?,?
450,'2018/02/09 15:26:35:458',10,41,257,?,?
451,'2018/02/09 15:26:35:474',10,41,257,?,?
452,'2018/02/09 15:26:35:490',10,41,257,?,?
453,'2018/02/09 15:26:35:507',10,41,257,?,?
454,'2018/02/09 15:26:35:523',10,41,257,?,?
455,'2018/02/09 15:26:35:540',10,41,257,?,?
456,'2018/02/09 15:26:35:556',10,41,257,?,?
457,'2018/02/09 15:26:35:573',10,41,257,?,?
458,'2018/02/09 15:26:35:590',10,41,257,?,?
459,'2018/02/09 15:26:35:606',10,41,257,?,?
460,'2018/02/09 15:26:35:623',10,41,257,?,?
461,'2018/02/09 15:26:35:640',10,41,257,?,?
462,'2018/02/09 15:26:35:657',10,41,257,?,?
463,'2018/02/09 15:26:35:672',10,41,257,?,?
464,'2018/02/09 15:26:35:692',10,41,257,?,?
465,'2018/02/09 15:26:35:708',10,41,257,?,?
466,'2018/02/09 15:26:35:724',10,41,257,?,?
467,'2018/02/09 15:26:35:740',10,41,257,?,?
468,'2018/02/09 15:26:35:756',10,41,257,?,?
