@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model-x numeric
@attribute eye-model-y numeric
@attribute region-classifier {0,1,2,3,4}

@data
144,'2018/02/16 22:27:28:700',4,538.384705,854.52655,?,?,3
145,'2018/02/16 22:27:29:201',4,594.557129,842.090942,?,?,3
146,'2018/02/16 22:27:29:702',4,317.163727,851.175903,?,?,3
147,'2018/02/16 22:27:30:203',4,403.296478,765.24939,?,?,3
148,'2018/02/16 22:27:30:703',4,449.82132,766.279358,?,?,3
149,'2018/02/16 22:27:31:205',4,813.413574,735.618225,?,?,3
150,'2018/02/16 22:27:31:709',4,767.791626,661.6521,?,?,3
151,'2018/02/16 22:27:32:211',4,641.219727,699.297058,?,?,3
152,'2018/02/16 22:27:32:712',4,176.891632,699.632813,?,?,3
153,'2018/02/16 22:27:33:213',4,-62.740196,791.623108,?,?,3
154,'2018/02/16 22:27:33:714',4,-7.767243,672.120728,?,?,3
155,'2018/02/16 22:27:34:215',4,68.83609,665.959534,?,?,3
156,'2018/02/16 22:27:34:717',4,587.200989,696.754395,?,?,3
157,'2018/02/16 22:27:35:218',4,640.980103,758.598389,?,?,3
158,'2018/02/16 22:27:35:719',4,709.871643,954.333984,?,?,3
159,'2018/02/16 22:27:36:234',4,869.683167,984.805237,?,?,3
160,'2018/02/16 22:27:36:740',4,857.408997,992.104736,?,?,3
161,'2018/02/16 22:27:37:241',4,863.074158,759.186279,?,?,3
162,'2018/02/16 22:27:37:742',4,852.772034,737.291077,?,?,3
163,'2018/02/16 22:27:38:243',4,821.741211,744.393494,?,?,3
164,'2018/02/16 22:27:38:744',4,496.629059,782.372681,?,?,3
165,'2018/02/16 22:27:39:246',4,48.889961,790.283203,?,?,3
166,'2018/02/16 22:27:39:747',4,0.801004,975.630859,?,?,3
167,'2018/02/16 22:27:40:248',4,539.74054,1017.053406,?,?,3
168,'2018/02/16 22:27:40:749',4,867.931213,1013.149902,?,?,3
169,'2018/02/16 22:27:41:250',4,869.577576,1024.8396,?,?,3
170,'2018/02/16 22:27:41:753',4,816.726074,706.978821,?,?,3
171,'2018/02/16 22:27:42:253',4,787.171997,705.421997,?,?,3
172,'2018/02/16 22:27:42:757',4,18.4086,721.448242,?,?,3
173,'2018/02/16 22:27:43:258',4,71.369354,731.154602,?,?,3
174,'2018/02/16 22:27:43:760',4,330.655151,703.34729,?,?,3
175,'2018/02/16 22:27:44:261',4,388.206696,724.483582,?,?,3
176,'2018/02/16 22:27:44:763',4,634.284424,671.624512,?,?,3
177,'2018/02/16 22:27:45:273',4,732.732666,703.07605,?,?,3
178,'2018/02/16 22:27:45:775',4,826.043579,700.150696,?,?,3
179,'2018/02/16 22:27:46:278',4,761.961975,929.622437,?,?,3
180,'2018/02/16 22:27:46:779',4,170.906235,999.464844,?,?,3
181,'2018/02/16 22:27:47:279',4,-31.312931,1070.320435,?,?,3
182,'2018/02/16 22:27:47:780',4,635.301575,1050.039551,?,?,3
183,'2018/02/16 22:27:48:281',4,838.282532,1055.926392,?,?,3
184,'2018/02/16 22:27:48:782',4,741.773499,822.815125,?,?,3
185,'2018/02/16 22:27:49:286',4,733.625,791.923523,?,?,3
186,'2018/02/16 22:27:49:790',4,265.298248,885.647278,?,?,3
187,'2018/02/16 22:27:50:291',4,131.50882,1026.641968,?,?,3
188,'2018/02/16 22:27:50:792',4,416.942139,913.957947,?,?,3
189,'2018/02/16 22:27:51:294',4,697.052246,872.331238,?,?,3
190,'2018/02/16 22:27:51:795',4,762.047607,707.072144,?,?,3
191,'2018/02/16 22:27:52:297',4,101.372314,730.055115,?,?,3
192,'2018/02/16 22:27:52:798',4,707.151794,894.729919,?,?,3
193,'2018/02/16 22:27:53:325',4,549.221008,762.012329,?,?,3
194,'2018/02/16 22:27:58:359',5,882.943726,877.032349,?,?,3
195,'2018/02/16 22:27:58:860',5,869.863098,692.173889,?,?,3
196,'2018/02/16 22:27:59:365',5,875.994568,645.69751,?,?,3
197,'2018/02/16 22:27:59:865',5,507.614807,648.341309,?,?,3
198,'2018/02/16 22:28:00:366',5,163.726486,714.011475,?,?,3
199,'2018/02/16 22:28:00:868',5,18.270262,727.193481,?,?,3
200,'2018/02/16 22:28:01:370',5,72.146317,867.37561,?,?,3
201,'2018/02/16 22:28:01:870',5,92.290764,1051.315674,?,?,3
202,'2018/02/16 22:28:02:371',5,720.154602,1014.789856,?,?,3
203,'2018/02/16 22:28:02:891',5,872.097717,1030.798096,?,?,3
204,'2018/02/16 22:28:03:391',5,671.564148,1039.977661,?,?,3
205,'2018/02/16 22:28:03:892',5,301.617828,1047.070801,?,?,3
206,'2018/02/16 22:28:04:393',5,533.512939,879.510803,?,?,3
207,'2018/02/16 22:28:04:895',5,831.663208,982.833435,?,?,3
208,'2018/02/16 22:28:05:396',5,875.692017,925.46405,?,?,3
209,'2018/02/16 22:28:05:896',5,858.89563,784.562988,?,?,3
210,'2018/02/16 22:28:06:402',5,875.059937,729.263977,?,?,3
211,'2018/02/16 22:28:06:903',5,863.424805,651.786621,?,?,3
212,'2018/02/16 22:28:07:404',5,654.177673,685.705505,?,?,3
213,'2018/02/16 22:28:07:905',5,577.640137,855.151733,?,?,3
214,'2018/02/16 22:28:08:416',5,774.493164,714.046143,?,?,3
215,'2018/02/16 22:28:08:917',5,466.329773,669.023865,?,?,3
216,'2018/02/16 22:28:09:420',5,214.544678,994.274231,?,?,3
217,'2018/02/16 22:28:09:928',5,607.260437,940.795227,?,?,3
218,'2018/02/16 22:28:18:025',6,885.484985,650.034851,?,?,4
219,'2018/02/16 22:28:18:525',6,911.963196,639.635681,?,?,4
220,'2018/02/16 22:28:19:032',6,1261.121582,636.22052,?,?,4
221,'2018/02/16 22:28:19:533',6,1707.938599,657.598389,?,?,4
222,'2018/02/16 22:28:20:034',6,1830.036133,644.546082,?,?,4
223,'2018/02/16 22:28:20:535',6,1949.365234,660.551025,?,?,4
224,'2018/02/16 22:28:21:035',6,1459.92688,761.611694,?,?,4
225,'2018/02/16 22:28:21:541',6,912.408936,832.436279,?,?,4
226,'2018/02/16 22:28:22:042',6,916.807495,1028.304199,?,?,4
227,'2018/02/16 22:28:22:543',6,907.577332,835.929077,?,?,4
228,'2018/02/16 22:28:23:044',6,934.516479,735.358459,?,?,4
229,'2018/02/16 22:28:23:545',6,963.396179,875.035889,?,?,4
230,'2018/02/16 22:28:24:045',6,1082.554565,781.330566,?,?,4
231,'2018/02/16 22:28:24:549',6,1575.655884,793.615173,?,?,4
232,'2018/02/16 22:28:25:051',6,1835.48291,825.086243,?,?,4
233,'2018/02/16 22:28:25:555',6,1863.329224,960.021301,?,?,4
234,'2018/02/16 22:28:26:056',6,1811.047607,1041.09436,?,?,4
235,'2018/02/16 22:28:26:557',6,1529.003906,1043.937988,?,?,4
236,'2018/02/16 22:28:27:066',6,1093.435669,894.530151,?,?,4
237,'2018/02/16 22:28:27:577',6,1539.730713,813.673401,?,?,4
238,'2018/02/16 22:28:28:082',6,1822.038086,849.921814,?,?,4
239,'2018/02/16 22:28:28:583',6,1393.572144,725.550659,?,?,4
240,'2018/02/16 22:28:29:084',6,888.430786,926.806213,?,?,4
241,'2018/02/16 22:28:29:585',6,889.873291,969.892944,?,?,4
242,'2018/02/16 22:28:30:086',6,916.286133,961.988525,?,?,4
243,'2018/02/16 22:28:30:595',6,910.119385,1093.469971,?,?,4
244,'2018/02/16 22:28:31:096',6,909.277832,884.551514,?,?,4
245,'2018/02/16 22:28:31:597',6,896.849182,641.424011,?,?,4
246,'2018/02/16 22:28:32:099',6,899.669373,642.627625,?,?,4
247,'2018/02/16 22:28:32:602',6,1366.296753,631.712097,?,?,4
248,'2018/02/16 22:28:33:114',6,1751.516968,651.617737,?,?,4
249,'2018/02/16 22:28:33:615',6,1249.742432,607.191589,?,?,4
250,'2018/02/16 22:28:34:116',6,1026.491333,628.890503,?,?,4
251,'2018/02/16 22:28:34:617',6,1322.212646,813.836792,?,?,4
252,'2018/02/16 22:28:35:122',6,1584.536621,756.257141,?,?,4
253,'2018/02/16 22:28:35:623',6,1810.524292,774.309143,?,?,4
254,'2018/02/16 22:28:36:124',6,1691.689819,697.416809,?,?,4
255,'2018/02/16 22:28:36:625',6,1048.176147,930.931946,?,?,4
256,'2018/02/16 22:28:37:126',6,1705.181519,1001.303162,?,?,4
257,'2018/02/16 22:28:37:629',6,1871.697266,1002.247253,?,?,4
358,'2018/02/16 22:32:05:337',12,58.857231,1053.727539,?,?,?
359,'2018/02/16 22:32:05:838',12,229.000412,1052.072998,?,?,?
360,'2018/02/16 22:32:06:338',12,882.612793,1057.714233,?,?,?
361,'2018/02/16 22:32:06:840',12,1692.818726,1050.476318,?,?,?
362,'2018/02/16 22:32:07:341',12,1671.169922,1075.817993,?,?,?
363,'2018/02/16 22:32:15:901',13,73.810806,1033.931396,?,0,?
364,'2018/02/16 22:32:16:404',13,122.277153,1045.807251,?,0,?
